Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,48.5689,11.9556,Germany,3.1,PV,operating,2021,,Western Europe,Europe,L821974,G825000,3.206
3/16/2023,48.5655,11.9556,Germany,5.7,PV,operating,2021,,Western Europe,Europe,L821975,G825001,3.208
3/16/2023,49.235,12.0446,Germany,7.5,PV,operating,2023,,Western Europe,Europe,L821976,G825002,3.064
3/16/2023,49.6331,12.1264,Germany,5.4,PV,operating,2021,,Western Europe,Europe,L821977,G825003,3.006
3/16/2023,51.4568,13.8892,Germany,1.5,PV,operating,2013,,Western Europe,Europe,L821978,G825004,2.958
3/16/2023,51.3562,8.2195,Germany,1.1,PV,operating,2012,,Western Europe,Europe,L821979,G825005,2.818
3/16/2023,49.9284,6.8567,Germany,2.2,PV,operating,2017,,Western Europe,Europe,L821980,G825006,2.971
3/16/2023,49.929,6.856,Germany,1.6,PV,operating,2017,,Western Europe,Europe,L821981,G825007,2.971
3/16/2023,51.7353,7.9335,Germany,1.1,PV,operating,2021,,Western Europe,Europe,L821982,G825008,2.91
3/16/2023,50.5622,11.8204,Germany,10.8,PV,operating,2012,,Western Europe,Europe,L821983,G825009,2.968
3/16/2023,50.6359,8.1862,Germany,5,PV,operating,2012,,Western Europe,Europe,L821984,G825010,2.959
3/16/2023,50.2332,7.1641,Germany,8.1,PV,operating,2012,,Western Europe,Europe,L821985,G825011,3.012
3/16/2023,50.5886,7.9232,Germany,1.6,PV,operating,2012,,Western Europe,Europe,L821986,G825012,2.948
3/16/2023,50.5896,7.9231,Germany,3.2,PV,operating,2013,,Western Europe,Europe,L821987,G825013,2.948
3/16/2023,49.8575,11.8075,Germany,2.7,PV,operating,2020,,Western Europe,Europe,L821988,G825014,3.011
3/16/2023,49.8563,11.8079,Germany,5.5,PV,operating,2020,,Western Europe,Europe,L821989,G825015,3.011
3/16/2023,48.4658,10.739,Germany,2.3,PV,operating,2010,,Western Europe,Europe,L821990,G825016,3.154
3/16/2023,51.0539,9.9228,Germany,1.1,PV,operating,2011,,Western Europe,Europe,L821991,G825017,2.868
3/16/2023,53.3916,13.0203,Germany,8.6,PV,operating,2020,,Western Europe,Europe,L821992,G825018,2.874
3/16/2023,48.0881,8.7439,Germany,1.9,PV,operating,2010,,Western Europe,Europe,L821993,G825019,3.216
3/16/2023,53.6843,13.896,Germany,2,PV,operating,2014,,Western Europe,Europe,L821994,G825020,2.895
3/16/2023,51.8627,11.5794,Germany,2.5,PV,operating,2012,,Western Europe,Europe,L821995,G825021,3.03
3/16/2023,53.8673,11.4423,Germany,2.1,PV,operating,2011,,Western Europe,Europe,L821996,G825022,2.911
