Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Installation_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
8/22/2022,-6.5823,-34.9785,Brazil,4.8,onshore,operating,2009,,Latin America and the Caribbean,South America,L916460,G920328,315.6395
8/22/2022,-3.7053,-38.4711,Brazil,2.4,onshore,operating,,,Latin America and the Caribbean,South America,L916462,G920331,371.87357
8/21/2023,-4.725,-37.3643,Brazil,5.5,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916463,G920338,292.42334
8/22/2022,-30.458,-50.3906,Brazil,9.2,onshore,operating,2010,,Latin America and the Caribbean,South America,L916465,G920352,553.5601
8/22/2022,-26.601,-52.7167,Brazil,4.8,onshore,operating,2004,,Latin America and the Caribbean,South America,L916466,G920353,116.04729
8/22/2022,-7.4953,-35.4955,Brazil,5,onshore,operating,2010,,Latin America and the Caribbean,South America,L916469,G920356,732.82513
8/22/2022,-13.8629,-42.6727,Brazil,6.4,onshore,operating,2014,,Latin America and the Caribbean,South America,L916470,G920357,975.68207
8/21/2023,-32.0125,-52.2587,Brazil,8.4,onshore,construction,,,Latin America and the Caribbean,South America,L916471,G920358,345.2418
8/22/2022,-6.5747,-34.976,Brazil,4.8,onshore,operating,2009,,Latin America and the Caribbean,South America,L916472,G920359,315.70966
8/22/2022,-26.6256,-51.6753,Brazil,4,onshore,operating,2015,,Latin America and the Caribbean,South America,L916487,G920374,461.13864
8/22/2022,-8.2947,-35.5956,Brazil,5,onshore,operating,2010,,Latin America and the Caribbean,South America,L916491,G920378,472.2187
8/21/2023,-5.6442,-36.2471,Brazil,6.2,onshore,operating,2023,,Latin America and the Caribbean,South America,L905099,G920379,510.58887
8/22/2022,-28.4551,-49.5984,Brazil,3,onshore,operating,2011,,Latin America and the Caribbean,South America,L916492,G920380,453.42145
8/17/2022,-3.4953,-38.9339,Brazil,5,onshore,operating,1998,,Latin America and the Caribbean,South America,L916504,G920446,397.03107
8/22/2022,-14.4452,-42.6917,Brazil,8,onshore,operating,2019,,Latin America and the Caribbean,South America,L916505,G920447,652.49585
8/22/2022,-28.4437,-48.9763,Brazil,4.2,onshore,operating,2021,,Latin America and the Caribbean,South America,L916507,G920449,180.26913
8/22/2022,-28.4809,-49.0372,Brazil,2.1,onshore,operating,2014,,Latin America and the Caribbean,South America,L916508,G920450,137.69121
8/22/2022,-10.6503,-41.5874,Brazil,7.5,onshore,operating,2019,,Latin America and the Caribbean,South America,L916510,G920452,982.73474
8/22/2022,-28.5458,-48.8101,Brazil,3,onshore,operating,,,Latin America and the Caribbean,South America,L916511,G920453,478.98386
8/15/2023,-26.44125556,-53.51792777,Brazil,0.9,onshore,operating,,,Latin America and the Caribbean,South America,L921809,G926984,394.66446
8/22/2023,-6.4538,-35.7896,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916514,G920478,486.2222
8/22/2023,-6.4252,-35.7722,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916514,G920479,839.36176
8/22/2023,-11.0516,-41.2631,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916514,G920481,579.5722
8/22/2023,-11.0337,-41.2377,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916514,G920482,504.10086
8/22/2023,-11.0065,-41.2565,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916514,G920483,554.976
8/22/2023,-11.0321,-41.2595,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916514,G920484,556.5698
8/22/2023,-10.5594,-40.4206,Brazil,5.3,onshore,construction,,,Latin America and the Caribbean,South America,L916518,G920502,351.5349
8/22/2023,-10.5613,-40.4215,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916518,G920503,351.5349
8/22/2023,-10.5633,-40.4225,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916518,G920504,351.5349
8/22/2023,-11.0195,-41.294,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916518,G920505,730.8413
8/22/2023,-10.5646,-40.4114,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916518,G920506,395.64102
8/22/2023,-11.0484,-41.3056,Brazil,5.3,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916518,G920507,717.5965
8/22/2023,-6.2301,-36.2498,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920511,390.54315
8/22/2023,-6.2268,-36.2487,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920512,390.54315
8/22/2023,-6.2235,-36.2469,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920513,432.16797
8/22/2023,-6.2205,-36.2441,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920514,432.16797
8/22/2023,-6.2204,-36.2421,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920515,398.10892
8/22/2023,-6.2141,-36.2411,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920516,406.3032
8/22/2023,-6.2109,-36.2401,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920517,406.3032
8/22/2023,-6.2073,-36.2388,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920518,406.3032
8/22/2023,-6.2033,-36.2369,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920519,406.3032
8/22/2023,-6.201,-36.2338,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920520,406.7453
8/22/2023,-6.198,-36.232,Brazil,6,onshore,pre-construction,,,Latin America and the Caribbean,South America,L916520,G920521,406.7453
8/22/2022,-33.6399,-53.3251,Brazil,7.2,onshore,operating,2015,,Latin America and the Caribbean,South America,L916524,G920542,361.008
8/22/2022,-33.6072,-53.3248,Brazil,9,onshore,operating,2015,,Latin America and the Caribbean,South America,L916524,G920543,325.46494
8/22/2022,-6.5573,-35.0147,Brazil,4.5,onshore,operating,2010,,Latin America and the Caribbean,South America,L916527,G920546,215.80194
8/22/2022,-8.175,-35.3889,Brazil,5,onshore,operating,2010,,Latin America and the Caribbean,South America,L916528,G920547,273.61874
6/7/2023,-53.14832837,-70.91176235,Chile,3.4,onshore,pre-construction,2025,,Latin America and the Caribbean,South America,L921863,G927156,960.6895
6/20/2023,10.7477,-75.108,Colombia,9.9,onshore,cancelled,,,Latin America and the Caribbean,South America,L916557,G920577,224.54807
6/20/2023,10.78003124,-74.71812714,Colombia,1,onshore,pre-construction,2024,,Latin America and the Caribbean,South America,L921877,G927178,65.6238
