Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
2/13/2023,45.9441,13.6252,Italy,39.8,PV,operating,,,Southern Europe,Europe,L823234,G826300,3.613
2/13/2023,42.7751,11.2878,Italy,70.8,PV,operating,,,Southern Europe,Europe,L823237,G826303,4.074
2/13/2023,43.9584,7.8667,Italy,27.5,PV,operating,,,Southern Europe,Europe,L823260,G826326,3.66
2/13/2023,41.6495,14.2081,Italy,25.6,PV,operating,,,Southern Europe,Europe,L823265,G826331,3.998
2/13/2023,42.1369,13.6103,Italy,95,PV,operating,,,Southern Europe,Europe,L823278,G826344,4.133
2/13/2023,44.2384,9.6912,Italy,23.2,PV,operating,,,Southern Europe,Europe,L823280,G826346,3.622
2/13/2023,41.4595,13.0126,Italy,115.5,PV,operating,,,Southern Europe,Europe,L823297,G826363,4.112
2/13/2023,40.1522,18.2261,Italy,510.9,PV,operating,,,Southern Europe,Europe,L823312,G826378,4.22
2/13/2023,45.9006,9.412,Italy,50.6,PV,operating,,,Southern Europe,Europe,L823316,G826382,3.661
2/13/2023,42.7902,10.3403,Italy,52.8,PV,operating,,,Southern Europe,Europe,L823324,G826390,4.033
2/13/2023,45.2613,9.4917,Italy,103.8,PV,operating,,,Southern Europe,Europe,L823327,G826393,3.795
2/13/2023,44.0178,10.4544,Italy,60,PV,operating,,,Southern Europe,Europe,L823332,G826398,3.736
2/13/2023,43.153,13.1509,Italy,226.5,PV,operating,,,Southern Europe,Europe,L823336,G826402,3.815
2/13/2023,45.1693,10.6708,Italy,213.3,PV,operating,,,Southern Europe,Europe,L823349,G826415,3.802
2/13/2023,44.2132,10.0526,Italy,24,PV,operating,,,Southern Europe,Europe,L823368,G826434,3.8
2/13/2023,40.4476,16.4736,Italy,144.2,PV,operating,,,Southern Europe,Europe,L823374,G826440,4.103
2/13/2023,38.1938,15.5542,Italy,57.4,PV,operating,,,Southern Europe,Europe,L823389,G826455,4.111
2/13/2023,45.4642,9.1896,Italy,318.8,PV,operating,,,Southern Europe,Europe,L823390,G826456,3.789
2/13/2023,44.5385,10.936,Italy,247.6,PV,operating,,,Southern Europe,Europe,L823396,G826462,3.851
2/13/2023,45.6395,9.2789,Italy,108.5,PV,operating,,,Southern Europe,Europe,L823449,G826515,3.823
2/13/2023,40.8359,14.2488,Italy,122.8,PV,operating,,,Southern Europe,Europe,L823457,G826523,4.168
2/13/2023,45.5843,8.546,Italy,90.7,PV,operating,,,Southern Europe,Europe,L823489,G826555,3.889
2/13/2023,40.264,9.1272,Italy,73.6,PV,operating,,,Southern Europe,Europe,L823495,G826561,4.156
2/13/2023,40.0266,8.6796,Italy,61.6,PV,operating,,,Southern Europe,Europe,L823500,G826566,4.228
2/13/2023,45.4077,11.8735,Italy,326.2,PV,operating,,,Southern Europe,Europe,L823524,G826590,3.757
2/13/2023,38.1112,13.3524,Italy,108.6,PV,operating,,,Southern Europe,Europe,L823540,G826606,4.282
2/13/2023,44.8014,10.3281,Italy,128.6,PV,operating,,,Southern Europe,Europe,L823545,G826611,3.83
2/13/2023,45.0369,9.1378,Italy,141.7,PV,operating,,,Southern Europe,Europe,L823556,G826622,3.802
2/13/2023,43.107,12.403,Italy,314,PV,operating,,,Southern Europe,Europe,L823564,G826630,3.915
2/13/2023,43.6941,12.7013,Italy,222.6,PV,operating,,,Southern Europe,Europe,L823568,G826634,3.768
2/13/2023,42.3103,13.9576,Italy,61.8,PV,operating,,,Southern Europe,Europe,L823570,G826636,3.902
